# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
2000 0.00898349
4000 0.0124533
6000 0.0126099
8000 0.0147065
10000 0.0199561
12000 0.0188051
14000 0.0207843
16000 0.0230086
18000 0.0270984
20000 0.0289616
22000 0.0297851
24000 0.0316251
26000 0.0337889
28000 0.0326531
30000 0.0332516
32000 0.0319726
34000 0.0318441
36000 0.033521
38000 0.0352259
40000 0.0377295
42000 0.0342951
44000 0.0315118
46000 0.0404181
48000 0.034361
50000 0.0265528
52000 0.0301196
54000 0.0294651
56000 0.0344614
58000 0.0293745
60000 0.0269955
62000 0.0304282
64000 0.026143
66000 0.0407986
68000 0.0257982
70000 0.0206086
72000 0.0266427
74000 0.0256892
76000 0.0278057
78000 0.025211
80000 0.0312769
82000 0.0307497
84000 0.0273695
86000 0.0281896
88000 0.0269499
90000 0.0259353
92000 0.0260635
94000 0.0240465
96000 0.029555
98000 0.0264311
100000 0.034872
102000 0.0285759
104000 0.025279
106000 0.0311444
108000 0.0223435
110000 0.0182405
112000 0.0224057
114000 0.0130127
116000 0.014027
118000 0.0230455
120000 0.016636
122000 0.0176453
124000 0.0177302
126000 0.015851
128000 0.0116155
130000 0.0183076
132000 0.0211223
134000 0.0203911
136000 0.0186208
138000 0.00985827
140000 0.0139257
142000 0.0183282
144000 0.0154036
146000 0.0210458
148000 0.0203098
150000 0.0208216
152000 0.0127389
154000 0.0178886
156000 0.0218659
158000 0.0210148
160000 0.0228992
162000 0.0112676
164000 0.0153287
166000 0.0213504
168000 0.0130858
170000 0.0132536
172000 0.0128442
174000 0.0150275
176000 0.014031
178000 0.0141884
180000 0.0237092
182000 0.0209811
184000 0.0139248
186000 0.0176587
188000 0.0119298
190000 0.0130069
192000 0.00975659
194000 0.0160305
196000 0.0111765
198000 0.0202883
200000 0.0156861
202000 0.0122659
204000 0.00886352
206000 0.0104435
208000 0.00982709
210000 0.0157342
212000 0.00678449
214000 0.00638305
216000 0.00976836
218000 0.00457831
220000 0.00181604
222000 0.000426829
224000 0.00813172
226000 0.0088125
228000 0.0123125
230000 0.0117063
232000 0.012036
234000 0.0111158
236000 0.0232946
238000 0.0160811
240000 0.00794521
242000 0.0130649
244000 0.00405797
246000 0.0033685
248000 0.0107704
250000 0.00427389
252000 0.00253846
254000 0.00343598
256000 0.00614075
258000 0.00611091
260000 0.004375
262000 0.0144643
264000 0.00409933
266000 0.00583333
268000 0.00462963
270000 0.000833333
272000 0.00166667
274000 0
276000 0.000192308
278000 0.00418552
280000 0.00149608
282000 0.00428571
284000 0.0046556
286000 0.00727811
288000 0.0193182
290000 0.0145455
292000 0.00852197
294000 0.00697445
296000 0.000365854
298000 0
300000 0.000375
