# Time-averaged data for fix myat1
# TimeStep v_number_type1_in
2000 20.79
4000 32.51
6000 34.59
8000 38.69
10000 46.69
12000 53.17
14000 60.02
16000 61.9
18000 66.975
20000 68.6
22000 70.05
24000 71.96
26000 72.355
28000 75.005
30000 79.545
32000 81.02
34000 86.125
36000 95.39
38000 98.225
40000 94.625
42000 83.95
44000 80.65
46000 85.705
48000 86.975
50000 82.785
52000 81.07
54000 80.03
56000 78.84
58000 85.255
60000 84.61
62000 84.755
64000 82.845
66000 83.12
68000 79.5
70000 79.095
72000 77.59
74000 78.58
76000 79.185
78000 81.4
80000 78.14
82000 80.16
84000 77.5
86000 72.145
88000 72.37
90000 70.845
92000 66.6
94000 66.03
96000 61.955
98000 60.39
100000 62.655
102000 63.735
104000 61.065
106000 58.22
108000 57.465
110000 54.7
112000 54.57
114000 55.11
116000 58.465
118000 59.54
120000 60.955
122000 59.395
124000 59.23
126000 54.065
128000 52.05
130000 53.155
132000 49.96
134000 48.52
136000 47.39
138000 47.875
140000 50.42
142000 47.38
144000 47.595
146000 47.145
148000 51.25
150000 48.805
152000 45.13
154000 43.845
156000 43.03
158000 41.17
160000 42.455
162000 42.375
164000 44.38
166000 43.93
168000 43.41
170000 40.835
172000 39.08
174000 38.34
176000 39.835
178000 36.055
180000 35.305
182000 33.05
184000 31.97
186000 31.1
188000 30.73
190000 31.345
192000 26.78
194000 27.34
196000 28.295
198000 25.15
200000 28.035
202000 28.595
204000 27.185
206000 26.485
208000 26.62
210000 26.16
212000 26.53
214000 28.055
216000 26.11
218000 26.395
220000 24.9
222000 25
224000 21.8
226000 22.13
228000 20.03
230000 18.43
232000 16.035
234000 16.095
236000 17.215
238000 17.19
240000 17.15
242000 17.11
244000 18.195
246000 19.17
248000 18.6
250000 17.31
252000 17.79
254000 17.185
256000 16.395
258000 16.905
260000 16.185
262000 16.555
264000 17.06
266000 18.31
268000 16.62
270000 14.665
272000 15.04
274000 15.87
276000 15.595
278000 14.665
280000 12.23
282000 13.23
284000 13.37
286000 13.315
288000 14.685
290000 14.015
292000 14.115
294000 13.42
296000 12.035
298000 8.685
300000 9.14
